IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
152.69.217.56,4,4,0.00,110.28,39.98
152.69.234.22,4,4,0.00,112.69,32.41
193.123.232.108,4,4,0.00,166.44,29.41
158.180.78.50,4,4,0.00,114.33,29.30
152.67.203.99,4,4,0.00,113.03,28.95
155.248.171.31,4,4,0.00,179.87,28.81
8.212.44.95,4,4,0.00,43.33,28.42
138.2.26.201,4,4,0.00,173.31,17.48
152.67.212.217,4,4,0.00,117.64,16.42
138.2.73.77,4,4,0.00,152.94,15.07
131.186.22.181,4,4,0.00,194.27,14.74
150.230.217.107,4,4,0.00,176.28,14.65
150.230.202.32,4,4,0.00,148.43,14.52
141.147.161.162,4,4,0.00,149.26,14.45
141.147.60.103,4,4,0.00,195.38,12.61
